TOP.5fa21a5f.00008b1c	START
TOP.5fa234af.000dd659	user_options->custom_charset_3	?l?d*!$@_
TOP.5fa234af.000dd659	user_options->encoding_from	utf-8
TOP.5fa234af.000dd659	user_options->encoding_to	utf-8
TOP.5fa234af.000dd659	user_options->outfile	cracked.txt
TOP.5fa234af.000dd659	user_options->rule_buf_l	:
TOP.5fa234af.000dd659	user_options->rule_buf_r	:
TOP.5fa234af.000dd659	user_options->session	hashcat
TOP.5fa234af.000dd659	user_options->limit	0
TOP.5fa234af.000dd659	user_options->skip	0
TOP.5fa234af.000dd659	user_options->attack_mode	3
TOP.5fa234af.000dd659	user_options->benchmark	0
TOP.5fa234af.000dd659	user_options->benchmark_all	0
TOP.5fa234af.000dd659	user_options->bitmap_max	18
TOP.5fa234af.000dd659	user_options->bitmap_min	16
TOP.5fa234af.000dd659	user_options->debug_mode	0
TOP.5fa234af.000dd659	user_options->example_hashes	0
TOP.5fa234af.000dd659	user_options->force	0
TOP.5fa234af.000dd659	user_options->hwmon_disable	0
TOP.5fa234af.000dd659	user_options->hwmon_temp_abort	90
TOP.5fa234af.000dd659	user_options->hash_mode	0
TOP.5fa234af.000dd659	user_options->hex_charset	0
TOP.5fa234af.000dd659	user_options->hex_salt	0
TOP.5fa234af.000dd659	user_options->hex_wordlist	0
TOP.5fa234af.000dd659	user_options->hook_threads	8
TOP.5fa234af.000dd659	user_options->increment	1
TOP.5fa234af.000dd659	user_options->increment_max	256
TOP.5fa234af.000dd659	user_options->increment_min	1
TOP.5fa234af.000dd659	user_options->keep_guessing	0
TOP.5fa234af.000dd659	user_options->kernel_accel	0
TOP.5fa234af.000dd659	user_options->kernel_loops	0
TOP.5fa234af.000dd659	user_options->kernel_threads	0
TOP.5fa234af.000dd659	user_options->keyspace	0
TOP.5fa234af.000dd659	user_options->left	0
TOP.5fa234af.000dd659	user_options->logfile_disable	0
TOP.5fa234af.000dd659	user_options->loopback	0
TOP.5fa234af.000dd659	user_options->machine_readable	0
TOP.5fa234af.000dd659	user_options->markov_classic	0
TOP.5fa234af.000dd659	user_options->markov_disable	0
TOP.5fa234af.000dd659	user_options->markov_threshold	256
TOP.5fa234af.000dd659	user_options->backend_info	0
TOP.5fa234af.000dd659	user_options->backend_vector_width	0
TOP.5fa234af.000dd659	user_options->optimized_kernel_enable	0
TOP.5fa234af.000dd659	user_options->outfile_autohex	1
TOP.5fa234af.000dd659	user_options->outfile_check_timer	5
TOP.5fa234af.000dd659	user_options->outfile_format	3
TOP.5fa234af.000dd659	user_options->wordlist_autohex_disable	0
TOP.5fa234af.000dd659	user_options->potfile_disable	0
TOP.5fa234af.000dd659	user_options->progress_only	0
TOP.5fa234af.000dd659	user_options->quiet	0
TOP.5fa234af.000dd659	user_options->remove	0
TOP.5fa234af.000dd659	user_options->remove_timer	60
TOP.5fa234af.000dd659	user_options->restore	0
TOP.5fa234af.000dd659	user_options->restore_disable	0
TOP.5fa234af.000dd659	user_options->restore_timer	60
TOP.5fa234af.000dd659	user_options->rp_files_cnt	0
TOP.5fa234af.000dd659	user_options->rp_gen	0
TOP.5fa234af.000dd659	user_options->rp_gen_func_max	4
TOP.5fa234af.000dd659	user_options->rp_gen_func_min	1
TOP.5fa234af.000dd659	user_options->rp_gen_seed	0
TOP.5fa234af.000dd659	user_options->runtime	0
TOP.5fa234af.000dd659	user_options->scrypt_tmto	0
TOP.5fa234af.000dd659	user_options->segment_size	33554432
TOP.5fa234af.000dd659	user_options->self_test_disable	0
TOP.5fa234af.000dd659	user_options->slow_candidates	0
TOP.5fa234af.000dd659	user_options->show	0
TOP.5fa234af.000dd659	user_options->speed_only	0
TOP.5fa234af.000dd659	user_options->spin_damp	0
TOP.5fa234af.000dd659	user_options->status	0
TOP.5fa234af.000dd659	user_options->status_json	0
TOP.5fa234af.000dd659	user_options->status_timer	10
TOP.5fa234af.000dd659	user_options->stdout_flag	0
TOP.5fa234af.000dd659	user_options->usage	0
TOP.5fa234af.000dd659	user_options->username	0
TOP.5fa234af.000dd659	user_options->veracrypt_pim_start	485
TOP.5fa234af.000dd659	user_options->veracrypt_pim_stop	485
TOP.5fa234af.000dd659	user_options->version	0
TOP.5fa234af.000dd659	user_options->workload_profile	2
TOP.5fa234af.000dd659	user_options->brain_client	0
TOP.5fa234af.000dd659	user_options->brain_client_features	2
TOP.5fa234af.000dd659	user_options->brain_server	0
TOP.5fa234af.000dd659	user_options->brain_server_timer	300
TOP.5fa234af.000dd659	user_options->brain_port	6863
TOP.5fa234af.000dd659	user_options->brain_session	0
TOP.5fa234af.000dd659	hashes->hashfile	hash.txt
TOP.5fa234af.000dd659	hashes->hashlist_mode	5
TOP.5fa234af.000dd659	hashes->hashlist_format	0
TOP.5fa234af.000dd659	hashes->hashes_cnt	0
TOP.5fa234af.000dd659	hashes->digests_cnt	1
TOP.5fa234af.000dd659	hashes->digests_done	0
TOP.5fa234af.000dd659	hashes->salts_cnt	1
TOP.5fa234af.000dd659	hashes->salts_done	0
TOP.5fa234af.000dd659	SUB.5fa234b8.0005128c	START
TOP.5fa234af.000dd659	SUB.5fa234b8.0005128c	mask_ctx->mask	?1
TOP.5fa234af.000dd659	SUB.5fa234b8.0005128c	runtime_start	1604465848
TOP.5fa234af.000dd659	SUB.5fa234b8.0005128c	runtime_stop	1604465848
TOP.5fa234af.000dd659	SUB.5fa234b8.0005128c	status-after-work	5
TOP.5fa234af.000dd659	SUB.5fa234b8.0005128c	STOP
TOP.5fa234af.000dd659	SUB.5fa234b8.0008d24d	START
TOP.5fa234af.000dd659	SUB.5fa234b8.0008d24d	mask_ctx->mask	?1?2
TOP.5fa234af.000dd659	SUB.5fa234b8.0008d24d	runtime_start	1604465848
TOP.5fa234af.000dd659	SUB.5fa234b8.0008d24d	runtime_stop	1604465848
TOP.5fa234af.000dd659	SUB.5fa234b8.0008d24d	status-after-work	5
TOP.5fa234af.000dd659	SUB.5fa234b8.0008d24d	STOP
TOP.5fa234af.000dd659	SUB.5fa234b8.000df665	START
TOP.5fa234af.000dd659	SUB.5fa234b8.000df665	mask_ctx->mask	?1?2?2
TOP.5fa234af.000dd659	SUB.5fa234b8.000df665	runtime_start	1604465849
TOP.5fa234af.000dd659	SUB.5fa234b8.000df665	runtime_stop	1604465849
TOP.5fa234af.000dd659	SUB.5fa234b8.000df665	status-after-work	5
TOP.5fa234af.000dd659	SUB.5fa234b8.000df665	STOP
TOP.5fa234af.000dd659	SUB.5fa234b9.00043cba	START
TOP.5fa234af.000dd659	SUB.5fa234b9.00043cba	mask_ctx->mask	?1?2?2?2
TOP.5fa234af.000dd659	SUB.5fa234b9.00043cba	runtime_start	1604465849
TOP.5fa234af.000dd659	SUB.5fa234b9.00043cba	runtime_stop	1604465849
TOP.5fa234af.000dd659	SUB.5fa234b9.00043cba	status-after-work	5
TOP.5fa234af.000dd659	SUB.5fa234b9.00043cba	STOP
TOP.5fa234af.000dd659	SUB.5fa234b9.00084d04	START
TOP.5fa234af.000dd659	SUB.5fa234b9.00084d04	mask_ctx->mask	?1?2?2?2?2
TOP.5fa234af.000dd659	SUB.5fa234b9.00084d04	runtime_start	1604465849
TOP.5fa234af.000dd659	SUB.5fa234b9.00084d04	runtime_stop	1604465850
TOP.5fa234af.000dd659	SUB.5fa234b9.00084d04	status-after-work	5
TOP.5fa234af.000dd659	SUB.5fa234b9.00084d04	STOP
TOP.5fa234af.000dd659	SUB.5fa234ba.0003c8e7	START
TOP.5fa234af.000dd659	SUB.5fa234ba.0003c8e7	mask_ctx->mask	?1?2?2?2?2?2
TOP.5fa234af.000dd659	SUB.5fa234ba.0003c8e7	runtime_start	1604465850
TOP.5fa234af.000dd659	SUB.5fa234ba.0003c8e7	runtime_stop	1604465858
TOP.5fa234af.000dd659	SUB.5fa234ba.0003c8e7	status-after-work	5
TOP.5fa234af.000dd659	SUB.5fa234ba.0003c8e7	STOP
TOP.5fa234af.000dd659	SUB.5fa234c2.000a605f	START
TOP.5fa234af.000dd659	SUB.5fa234c2.000a605f	mask_ctx->mask	?1?2?2?2?2?2?2
TOP.5fa234af.000dd659	SUB.5fa234c2.000a605f	runtime_start	1604465858
TOP.5fa234af.000dd659	SUB.5fa234c2.000a605f	runtime_stop	1604466150
TOP.5fa234af.000dd659	SUB.5fa234c2.000a605f	status-after-work	5
TOP.5fa234af.000dd659	SUB.5fa234c2.000a605f	STOP
TOP.5fa234af.000dd659	SUB.5fa235e6.00092492	START
TOP.5fa234af.000dd659	SUB.5fa235e6.00092492	mask_ctx->mask	?1?2?2?2?2?2?2?3
TOP.5fa234af.000dd659	SUB.5fa235e6.00092492	runtime_start	1604466150
TOP.5fa234af.000dd659	SUB.5fa235e6.00092492	runtime_stop	1604466210
TOP.5fa234af.000dd659	SUB.5fa235e6.00092492	status-after-work	10
TOP.5fa234af.000dd659	SUB.5fa235e6.00092492	STOP
TOP.5fa234af.000dd659	proc_start	1604465839
TOP.5fa234af.000dd659	proc_stop	1604466211
TOP.5fa234af.000dd659	STOP
TOP.5fa2363c.0008c4b6	START
TOP.5fa2363c.0008c4b6	folder_config->cwd	C:\Users\Sebastián\Desktop\Tarea 4 cripto\hashcat-6.1.1
TOP.5fa2363c.0008c4b6	folder_config->install_dir	.
TOP.5fa2363c.0008c4b6	folder_config->profile_dir	.
TOP.5fa2363c.0008c4b6	folder_config->session_dir	.
TOP.5fa2363c.0008c4b6	folder_config->shared_dir	.
TOP.5fa2363c.0008c4b6	user_options->separator	:
TOP.5fa2363c.0008c4b6	user_options->custom_charset_1	?l?d?u
TOP.5fa2363c.0008c4b6	user_options->custom_charset_2	?l?d
TOP.5fa2363c.0008c4b6	user_options->custom_charset_3	?l?d*!$@_
TOP.5fa2363c.0008c4b6	user_options->encoding_from	utf-8
TOP.5fa2363c.0008c4b6	user_options->encoding_to	utf-8
TOP.5fa2363c.0008c4b6	user_options->outfile	cracked.txt
TOP.5fa2363c.0008c4b6	user_options->rule_buf_l	:
TOP.5fa2363c.0008c4b6	user_options->rule_buf_r	:
TOP.5fa2363c.0008c4b6	user_options->session	hashcat
TOP.5fa2363c.0008c4b6	user_options->limit	0
TOP.5fa2363c.0008c4b6	user_options->skip	0
TOP.5fa2363c.0008c4b6	user_options->attack_mode	3
TOP.5fa2363c.0008c4b6	user_options->benchmark	0
TOP.5fa2363c.0008c4b6	user_options->benchmark_all	0
TOP.5fa2363c.0008c4b6	user_options->bitmap_max	18
TOP.5fa2363c.0008c4b6	user_options->bitmap_min	16
TOP.5fa2363c.0008c4b6	user_options->debug_mode	0
TOP.5fa2363c.0008c4b6	user_options->example_hashes	0
TOP.5fa2363c.0008c4b6	user_options->force	0
TOP.5fa2363c.0008c4b6	user_options->hwmon_disable	0
TOP.5fa2363c.0008c4b6	user_options->hwmon_temp_abort	90
TOP.5fa2363c.0008c4b6	user_options->hash_mode	0
TOP.5fa2363c.0008c4b6	user_options->hex_charset	0
TOP.5fa2363c.0008c4b6	user_options->hex_salt	0
TOP.5fa2363c.0008c4b6	user_options->hex_wordlist	0
TOP.5fa2363c.0008c4b6	user_options->hook_threads	8
TOP.5fa2363c.0008c4b6	user_options->increment	1
TOP.5fa2363c.0008c4b6	user_options->increment_max	256
TOP.5fa2363c.0008c4b6	user_options->increment_min	1
TOP.5fa2363c.0008c4b6	user_options->keep_guessing	0
TOP.5fa2363c.0008c4b6	user_options->kernel_accel	0
TOP.5fa2363c.0008c4b6	user_options->kernel_loops	0
TOP.5fa2363c.0008c4b6	user_options->kernel_threads	0
TOP.5fa2363c.0008c4b6	user_options->keyspace	0
TOP.5fa2363c.0008c4b6	user_options->left	0
TOP.5fa2363c.0008c4b6	user_options->logfile_disable	0
TOP.5fa2363c.0008c4b6	user_options->loopback	0
TOP.5fa2363c.0008c4b6	user_options->machine_readable	0
TOP.5fa2363c.0008c4b6	user_options->markov_classic	0
TOP.5fa2363c.0008c4b6	user_options->markov_disable	0
TOP.5fa2363c.0008c4b6	user_options->markov_threshold	256
TOP.5fa2363c.0008c4b6	user_options->backend_info	0
TOP.5fa2363c.0008c4b6	user_options->backend_vector_width	0
TOP.5fa2363c.0008c4b6	user_options->optimized_kernel_enable	0
TOP.5fa2363c.0008c4b6	user_options->outfile_autohex	1
TOP.5fa2363c.0008c4b6	user_options->outfile_check_timer	5
TOP.5fa2363c.0008c4b6	user_options->outfile_format	3
TOP.5fa2363c.0008c4b6	user_options->wordlist_autohex_disable	0
TOP.5fa2363c.0008c4b6	user_options->potfile_disable	0
TOP.5fa2363c.0008c4b6	user_options->progress_only	0
TOP.5fa2363c.0008c4b6	user_options->quiet	0
TOP.5fa2363c.0008c4b6	user_options->remove	0
TOP.5fa2363c.0008c4b6	user_options->remove_timer	60
TOP.5fa2363c.0008c4b6	user_options->restore	0
TOP.5fa2363c.0008c4b6	user_options->restore_disable	0
TOP.5fa2363c.0008c4b6	user_options->restore_timer	60
TOP.5fa2363c.0008c4b6	user_options->rp_files_cnt	0
TOP.5fa2363c.0008c4b6	user_options->rp_gen	0
TOP.5fa2363c.0008c4b6	user_options->rp_gen_func_max	4
TOP.5fa2363c.0008c4b6	user_options->rp_gen_func_min	1
TOP.5fa2363c.0008c4b6	user_options->rp_gen_seed	0
TOP.5fa2363c.0008c4b6	user_options->runtime	0
TOP.5fa2363c.0008c4b6	user_options->scrypt_tmto	0
TOP.5fa2363c.0008c4b6	user_options->segment_size	33554432
TOP.5fa2363c.0008c4b6	user_options->self_test_disable	0
TOP.5fa2363c.0008c4b6	user_options->slow_candidates	0
TOP.5fa2363c.0008c4b6	user_options->show	0
TOP.5fa2363c.0008c4b6	user_options->speed_only	0
TOP.5fa2363c.0008c4b6	user_options->spin_damp	0
TOP.5fa2363c.0008c4b6	user_options->status	0
TOP.5fa2363c.0008c4b6	user_options->status_json	0
TOP.5fa2363c.0008c4b6	user_options->status_timer	10
TOP.5fa2363c.0008c4b6	user_options->stdout_flag	0
TOP.5fa2363c.0008c4b6	user_options->usage	0
TOP.5fa2363c.0008c4b6	user_options->username	0
TOP.5fa2363c.0008c4b6	user_options->veracrypt_pim_start	485
TOP.5fa2363c.0008c4b6	user_options->veracrypt_pim_stop	485
TOP.5fa2363c.0008c4b6	user_options->version	0
TOP.5fa2363c.0008c4b6	user_options->workload_profile	2
TOP.5fa2363c.0008c4b6	user_options->brain_client	0
TOP.5fa2363c.0008c4b6	user_options->brain_client_features	2
TOP.5fa2363c.0008c4b6	user_options->brain_server	0
TOP.5fa2363c.0008c4b6	user_options->brain_server_timer	300
TOP.5fa2363c.0008c4b6	user_options->brain_port	6863
TOP.5fa2363c.0008c4b6	user_options->brain_session	0
TOP.5fa2363c.0008c4b6	hashes->hashfile	hash.txt
TOP.5fa2363c.0008c4b6	hashes->hashlist_mode	5
TOP.5fa2363c.0008c4b6	hashes->hashlist_format	0
TOP.5fa2363c.0008c4b6	hashes->hashes_cnt	0
TOP.5fa2363c.0008c4b6	hashes->digests_cnt	1
TOP.5fa2363c.0008c4b6	hashes->digests_done	0
TOP.5fa2363c.0008c4b6	hashes->salts_cnt	1
TOP.5fa2363c.0008c4b6	hashes->salts_done	0
TOP.5fa2363c.0008c4b6	SUB.5fa2363d.00020c94	START
TOP.5fa2363c.0008c4b6	SUB.5fa2363d.00020c94	mask_ctx->mask	?1
TOP.5fa2363c.0008c4b6	SUB.5fa2363d.00020c94	runtime_start	1604466237
TOP.5fa2363c.0008c4b6	SUB.5fa2363d.00020c94	runtime_stop	1604466237
TOP.5fa2363c.0008c4b6	SUB.5fa2363d.00020c94	status-after-work	5
TOP.5fa2363c.0008c4b6	SUB.5fa2363d.00020c94	STOP
TOP.5fa2363c.0008c4b6	SUB.5fa2363d.00059d85	START
